,sample_name,plate,sampleID,flag_A,flag_B
378,KEL312_urine,2,KEL312,0,0
379,KEL312_whole_blood,3,KEL312,0,0
380,KEL313_whole_blood,3,KEL313,0,0
381,KEL314_whole_blood,3,KEL314,0,0
382,KEL315_urine,2,KEL315,0,0
383,KEL315_whole_blood,3,KEL315,0,0
384,KEL316_whole_blood,4,KEL316,0,0
385,KEL317_urine,2,KEL317,0,0
386,KEL317_whole_blood,4,KEL317,0,0
387,KEL318_urine,2,KEL318,0,0
388,KEL318_whole_blood,4,KEL318,0,0
389,KEL319_whole_blood,4,KEL319,0,0
390,KEL320_whole_blood,3,KEL320,0,0
391,KEL321_whole_blood,3,KEL321,0,0
392,KEL322_urine,2,KEL322,0,0
393,KEL322_whole_blood,3,KEL322,0,0
394,KEL323_whole_blood,3,KEL323,0,0
395,KEL324_whole_blood,4,KEL324,0,0
396,KEL325_whole_blood,4,KEL325,0,0
397,KEL328_whole_blood,4,KEL328,0,0
398,KEL331_whole_blood,4,KEL331,0,0
399,KEL334_urine,2,KEL334,0,0
400,KEL334_whole_blood,4,KEL334,0,0
401,KEL335_whole_blood,4,KEL335,0,0
402,KEL390_whole_blood,2,KEL390,0,0
403,MAH1_urine,2,MAH1,0,0
404,MAH10_urine-1,2,MAH10,0,0
405,MAH11_urine,2,MAH11,0,0
406,MAH12_urine,2,MAH12,0,0
407,MAH3_urine,2,MAH3,0,0
408,MAH4_urine,2,MAH4,0,0
409,MAH6_urine,2,MAH6,0,0
410,MAH7_urine,2,MAH7,0,0
411,MAK12_urine,2,MAK12,0,0
412,MAK13_urine,2,MAK13,0,0
413,MARO43_urine,2,MARO43,0,0
414,MARO66_urine,2,MARO66,0,0
415,MARO7_urine,2,MARO7,0,0
416,MARO79_urine,2,MARO79,0,0
417,MARO8_urine,2,MARO8,0,0
418,MIZ135_whole_blood,3,MIZ135,0,0
419,MIZ136_urine,2,MIZ136,0,0
420,MIZ136_whole_blood,3,MIZ136,0,0
421,MIZ137_whole_blood,3,MIZ137,0,0
422,MIZ138_whole_blood,3,MIZ138,0,0
423,MIZ139_whole_blood,3,MIZ139,0,0
424,MIZ140_whole_blood,3,MIZ140,0,0
425,MIZ141_whole_blood,3,MIZ141,0,0
426,MIZ142_urine,2,MIZ142,0,0
427,MIZ142_whole_blood,3,MIZ142,0,0
428,MIZ143_urine,2,MIZ143,0,0
429,MIZ143_whole_blood,3,MIZ143,0,0
430,MIZ144_urine,2,MIZ144,0,0
431,MIZ145_whole_blood,3,MIZ145,0,0
432,MIZ146_whole_blood,3,MIZ146,0,0
433,MIZ147_whole_blood,3,MIZ147,0,0
434,MIZ148_whole_blood,2,MIZ148,0,0
435,MIZ149_whole_blood,2,MIZ149,0,0
436,MIZ150_whole_blood,2,MIZ150,0,0
437,MIZ151_urine,2,MIZ151,0,0
438,MIZ151_urine,2,MIZ151,0,0
