#,coder,village_code,land_use_type,LUT,plotcode,tree.id,no_of_stems,stem_ID,growth_type,family_fieldname,genus_fieldname,species_fieldname,,dbh,height,wood.density,coll.nr,Pnumber,Family,scientific_name,CS,EN,phenology,reproduction,health_status,crown_height,human_damage,tutor,notes,
1563,1563,MT,OGF2,OGF,MT-OGF2,MT-OGF2-185,2,MT-OGF2-185a,T,Araliaceae,Polyscias,uk,voantsilana,17,10.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
1564,1564,MT,OGF2,OGF,MT-OGF2,MT-OGF2-186,2,MT-OGF2-185a,T,Araliaceae,Polyscias,uk,voantsilana,10.3,8.1,NA,AP9471,9471,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
1609,1609,MT,OGF2,OGF,MT-OGF2,MT-OGF2-231,1,MT-OGF2-231,T,uk,uk,uk,biloha,26.4,18.9,21,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
1863,1863,MT,OGF4,OGF,MT-OGF4,MT-OGF4-33,1,MT-OGF4-33,T,uk,uk,uk,biloha,8.1,8.3,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2134,2134,MT,OGF5,OGF,MT-OGF5,MT-OGF5-62,1,MT-OGF5-62,T,uk,uk,uk,biloha,10.4,8.2,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2140,2140,MT,OGF5,OGF,MT-OGF5,MT-OGF5-68,1,MT-OGF5-68,T,uk,uk,uk,biloha,20,16.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2226,2226,MT,OGF5,OGF,MT-OGF5,MT-OGF5-154,1,MT-OGF5-154,T,uk,uk,uk,biloha,8.1,7.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2350,2350,V2,VH,VH,V2-VH,V2-VH-99,1,V2-VH-99,T,Araliaceae,Polyscias,uk,voantsilana,24.5,17.8,14,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2536,2536,V2,FF,FF,V2-FF,V2-FF-56,1,V2-FF-56,T,Araliaceae,Polyscias,uk,voantsilana,23,14.1,15,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2571,2571,V2,FF,FF,V2-FF,V2-FF-91,1,V2-FF-91,T,Araliaceae,Polyscias,uk,biloha,18.5,7.6,19,AP9168,9168,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2662,2662,V25,VM,VM,V25-VM,V25-VM-2,1,V25-VM-2,T,Araliaceae,Polyscias,uk,biloha,14.4,10.1,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2748,2748,V25,VL,VL,V25-VL,V25-VL-31,1,V25-VL-31,T,Araliaceae,Polyscias,uk,biloha,17,10.5,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2749,2749,V25,VL,VL,V25-VL,V25-VL-32,1,V25-VL-32,T,Araliaceae,Polyscias,uk,voantsilana,30.8,17.2,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2775,2775,V25,VL,VL,V25-VL,V25-VL-58,1,V25-VL-58,T,Araliaceae,Polyscias,uk,voantsilana,36.7,13.1,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2777,2777,V25,VL,VL,V25-VL,V25-VL-60,1,V25-VL-60,T,Araliaceae,Polyscias,uk,voantsilana,18.5,12.3,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2782,2782,V25,VL,VL,V25-VL,V25-VL-65,1,V25-VL-65,T,Araliaceae,Polyscias,uk,voantsilana,16,11.3,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2791,2791,V25,VL,VL,V25-VL,V25-VL-74,1,V25-VL-74,T,Araliaceae,Polyscias,uk,voantsilana,22.4,11.1,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2795,2795,V25,VL,VL,V25-VL,V25-VL-78,1,V25-VL-78,T,Araliaceae,Polyscias,uk,voantsilana,13.7,5.7,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
2993,2993,V25,FF,FF,V25-FF,V25-FF-158,1,V25-FF-158,T,Araliaceae,Polyscias,uk,voantsilana,9.2,11.4,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3162,3162,V39,WF,WF,V39-WF,V39-WF-12,1,V39-WF-12,T,Araliaceae,Polyscias,uk,biloha,19.4,5.3,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,fair,human,stem,NA,Crown cut + shoots,
3229,3229,V39,FF,FF,V39-FF,V39-FF-41,1,V39-FF-41,T,Araliaceae,Polyscias,uk,voantsilana,12,9.3,NA,AP9240,9240,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3285,3285,V39,FF,FF,V39-FF,V39-FF-97,1,V39-FF-97,T,Araliaceae,Polyscias,uk,voantsilana (hafa),9.7,4,NA,AP9250,9250,Araliaceae,Polyscias,unknown,not endemic,e,sterile,poor,human,stem,NA,Crown cut,
3608,3608,V40,VM,VM,V40-VM,V40-VM-41,1,V40-VM-41,T,Araliaceae,Polyscias,uk,voantsilana,15.5,14.2,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3711,3711,V40,FF,FF,V40-FF,V40-FF-18,1,V40-FF-18,T,Araliaceae,Polyscias,uk,voantsilana,27.2,14.5,11,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3859,3859,V40,FF,FF,V40-FF,V40-FF-166,1,V40-FF-166,T,Araliaceae,Polyscias,uk,voantsilana,10.3,8,12,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3861,3861,V40,FF,FF,V40-FF,V40-FF-168,2,V40-FF-168a,T,Araliaceae,Polyscias,uk,voantsilana,9.7,8.9,17,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3862,3862,V40,FF,FF,V40-FF,V40-FF-169,2,V40-FF-168a,T,Araliaceae,Polyscias,uk,voantsilana,17.4,8.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3881,3881,V40,FF,FF,V40-FF,V40-FF-188,1,V40-FF-188,T,Araliaceae,Polyscias,uk,voantsilana,17.2,12.7,16,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3970,3970,V40,VL,VL,V40-VL,V40-VL-65,2,V40-VL-65a,T,Araliaceae,Polyscias,uk,voantsilana,9.4,7.8,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3971,3971,V40,VL,VL,V40-VL,V40-VL-66,2,V40-VL-65a,T,Araliaceae,Polyscias,uk,voantsilana,9.6,7.8,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3976,3976,V40,VL,VL,V40-VL,V40-VL-71,2,V40-VL-71a,T,Araliaceae,Polyscias,uk,voantsilana,11.2,6.8,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
3977,3977,V40,VL,VL,V40-VL,V40-VL-72,2,V40-VL-71a,T,Araliaceae,Polyscias,uk,voantsilana,11.5,6.2,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4247,4247,V45,FF,FF,V45-FF,V45-FF-1,1,V45-FF-1,T,Araliaceae,Polyscias,uk,voantsilana 2,9.9,9.5,17,AP8954,8954,Araliaceae,Polyscias,unknown,not endemic,e,NA,good,undamaged,no,NA,Sp 2 for distinguishing it from Voantsilana in Ambinanfaho,
4251,4251,V45,FF,FF,V45-FF,V45-FF-5,1,V45-FF-5,T,Araliaceae,Polyscias,uk,voantsilana 2,19.5,15.6,14,NV,,Araliaceae,Polyscias,unknown,not endemic,e,NA,good,undamaged,no,NA,NA,
4279,4279,V45,FF,FF,V45-FF,V45-FF-33,1,V45-FF-33,T,Araliaceae,Polyscias,uk,voantsilana 2,8.8,5.4,12,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4281,4281,V45,FF,FF,V45-FF,V45-FF-35,1,V45-FF-35,T,Araliaceae,Polyscias,uk,voantsilana,10.2,15,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,NA,dead,human,stem,NA,NA,
4286,4286,V45,FF,FF,V45-FF,V45-FF-40,1,V45-FF-40,T,Araliaceae,Polyscias,uk,voantsilana 2,8,10,19,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,young tree,
4292,4292,V45,FF,FF,V45-FF,V45-FF-46,1,V45-FF-46,T,Araliaceae,Polyscias,uk,voantsilana,13.2,8,14,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4413,4413,V47,VH,VH,V47-VH,V47-VH-81,1,V47-VH-81,T,Araliaceae,Polyscias,uk,biloha,8.3,4.7,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4504,4504,V47,WF,WF,V47-WF,V47-WF-6,1,V47-WF-6,T,Araliaceae,Polyscias,uk,voantsilana,11.3,7,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4515,4515,V47,WF,WF,V47-WF,V47-WF-17,1,V47-WF-17,T,Araliaceae,Polyscias,uk,voantsilana,8.6,8.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4518,4518,V47,WF,WF,V47-WF,V47-WF-20,1,V47-WF-20,T,Araliaceae,Polyscias,uk,voantsilana,14.8,7.2,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4553,4553,V47,WF,WF,V47-WF,V47-WF-55,1,V47-WF-55,T,Araliaceae,Polyscias,uk,voantsilana,16.7,7.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4558,4558,V47,FF,FF,V47-FF,V47-FF-2,1,V47-FF-2,T,Araliaceae,Polyscias,uk,voantsilana,22.8,14.8,16,AP9137,9137,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4560,4560,V47,FF,FF,V47-FF,V47-FF-4,1,V47-FF-4,T,Araliaceae,Polyscias,uk,biloha,10.4,8.5,16,AP9138,9138,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4569,4569,V47,FF,FF,V47-FF,V47-FF-13,1,V47-FF-13,T,Araliaceae,Polyscias,uk,voantsilana,20.8,11.8,16,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4583,4583,V47,FF,FF,V47-FF,V47-FF-27,1,V47-FF-27,T,Araliaceae,Polyscias,uk,biloha,9.5,9.9,17,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4587,4587,V47,FF,FF,V47-FF,V47-FF-31,1,V47-FF-31,T,Araliaceae,Polyscias,uk,biloha,9.2,7.4,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4590,4590,V47,FF,FF,V47-FF,V47-FF-34,1,V47-FF-34,T,Araliaceae,Polyscias,uk,biloha,11.6,1.1,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,fair,storm,no,NA,liying down but alive,
4593,4593,V47,FF,FF,V47-FF,V47-FF-37,1,V47-FF-37,T,Araliaceae,Polyscias,uk,biloha,9.8,8,20,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4594,4594,V47,FF,FF,V47-FF,V47-FF-38,1,V47-FF-38,T,Araliaceae,Polyscias,uk,biloha,8.7,7.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4595,4595,V47,FF,FF,V47-FF,V47-FF-39,1,V47-FF-39,T,Araliaceae,Polyscias,uk,biloha,12.8,11.6,19,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4601,4601,V47,FF,FF,V47-FF,V47-FF-45,1,V47-FF-45,T,Araliaceae,Polyscias,uk,voantsilana,23.4,13.1,18,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4602,4602,V47,FF,FF,V47-FF,V47-FF-46,1,V47-FF-46,T,Araliaceae,Polyscias,uk,voantsilana,30.2,16.6,16,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4605,4605,V47,FF,FF,V47-FF,V47-FF-49,1,V47-FF-49,T,Araliaceae,Polyscias,uk,voantsilana,31.8,13.9,18,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4606,4606,V47,FF,FF,V47-FF,V47-FF-50,1,V47-FF-50,T,Araliaceae,Polyscias,uk,biloha,10.2,8.4,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4608,4608,V47,FF,FF,V47-FF,V47-FF-52,1,V47-FF-52,T,Araliaceae,Polyscias,uk,biloha,12.2,7.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4612,4612,V47,FF,FF,V47-FF,V47-FF-56,1,V47-FF-56,T,Araliaceae,Polyscias,uk,voantsilana,12,11.9,20,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4624,4624,V47,FF,FF,V47-FF,V47-FF-68,1,V47-FF-68,T,Araliaceae,Polyscias,uk,biloha,17.2,13.3,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4627,4627,V47,FF,FF,V47-FF,V47-FF-71,1,V47-FF-71,T,Araliaceae,Polyscias,uk,voantsilana,30,11.3,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4630,4630,V47,FF,FF,V47-FF,V47-FF-74,1,V47-FF-74,T,Araliaceae,Polyscias,uk,voantsilana,14.4,10.8,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4632,4632,V47,FF,FF,V47-FF,V47-FF-76,1,V47-FF-76,T,Araliaceae,Polyscias,uk,voantsilana,12.9,9.7,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4635,4635,V47,FF,FF,V47-FF,V47-FF-79,1,V47-FF-79,T,Araliaceae,Polyscias,uk,voantsilana,25.1,14.5,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4650,4650,V47,FF,FF,V47-FF,V47-FF-94,2,V47-FF-94a,T,Araliaceae,Polyscias,uk,voantsilana,19.6,11,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4651,4651,V47,FF,FF,V47-FF,V47-FF-95,2,V47-FF-94a,T,Araliaceae,Polyscias,uk,voantsilana,16.5,8.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4653,4653,V47,FF,FF,V47-FF,V47-FF-97,1,V47-FF-97,T,Araliaceae,Polyscias,uk,biloha,11.9,8.8,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4657,4657,V47,FF,FF,V47-FF,V47-FF-101,1,V47-FF-101,T,Araliaceae,Polyscias,uk,voantsilana,11.2,11.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4665,4665,V47,FF,FF,V47-FF,V47-FF-109,1,V47-FF-109,T,Araliaceae,Polyscias,uk,voantsilana,17.7,11.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4669,4669,V47,FF,FF,V47-FF,V47-FF-113,1,V47-FF-113,T,Araliaceae,Polyscias,uk,voantsilana,22.3,14.3,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4670,4670,V47,FF,FF,V47-FF,V47-FF-114,1,V47-FF-114,T,Araliaceae,Polyscias,uk,voantsilana,17.7,15.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4672,4672,V47,FF,FF,V47-FF,V47-FF-116,1,V47-FF-116,T,Araliaceae,Polyscias,uk,voantsilana,16.3,10.5,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,NA,dead,storm,no,NA,no leaves anymore,
4674,4674,V47,FF,FF,V47-FF,V47-FF-118,1,V47-FF-118,T,Araliaceae,Polyscias,uk,voantsilana,25.6,15.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4675,4675,V47,FF,FF,V47-FF,V47-FF-119,1,V47-FF-119,T,Araliaceae,Polyscias,uk,voantsilana,18,13.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4677,4677,V47,FF,FF,V47-FF,V47-FF-121,1,V47-FF-121,T,Araliaceae,Polyscias,uk,voantsilana,19.1,10.3,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4678,4678,V47,FF,FF,V47-FF,V47-FF-122,1,V47-FF-122,T,Araliaceae,Polyscias,uk,voantsilana,20.9,10.5,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4680,4680,V47,FF,FF,V47-FF,V47-FF-124,1,V47-FF-124,T,Araliaceae,Polyscias,uk,voantsilana,12.6,11.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4681,4681,V47,FF,FF,V47-FF,V47-FF-125,1,V47-FF-125,T,Araliaceae,Polyscias,uk,voantsilana,16.8,10.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4695,4695,V47,FF,FF,V47-FF,V47-FF-139,1,V47-FF-139,T,Araliaceae,Polyscias,uk,voantsilana,17.2,10,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4697,4697,V47,FF,FF,V47-FF,V47-FF-141,1,V47-FF-141,T,Araliaceae,Polyscias,uk,voantsilana,17.1,13,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4698,4698,V47,FF,FF,V47-FF,V47-FF-142,1,V47-FF-142,T,Araliaceae,Polyscias,uk,biloha,16,12.4,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4721,4721,V47,FF,FF,V47-FF,V47-FF-165,1,V47-FF-165,T,Araliaceae,Polyscias,uk,biloha,14.6,7,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,fair,storm,no,NA,Crown cut with shoot,
4726,4726,V47,FF,FF,V47-FF,V47-FF-170,1,V47-FF-170,T,Araliaceae,Polyscias,uk,unknown_35,28.7,12.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4731,4731,V47,FF,FF,V47-FF,V47-FF-175,3,V47-FF-175a,T,Araliaceae,Polyscias,uk,voantsilana,9.4,11.2,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4732,4732,V47,FF,FF,V47-FF,V47-FF-176,3,V47-FF-175a,T,Araliaceae,Polyscias,uk,voantsilana,9,11.2,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4733,4733,V47,FF,FF,V47-FF,V47-FF-177,3,V47-FF-175a,T,Araliaceae,Polyscias,uk,voantsilana,8.3,10.5,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
4955,4955,V7,FF,FF,V7-FF,V7-FF-10,1,V7-FF-10,T,Araliaceae,Polyscias,uk,biloha,14.9,7.1,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,dead,storm,no,NA,NA,
4966,4966,V7,FF,FF,V7-FF,V7-FF-21,1,V7-FF-21,T,Araliaceae,Polyscias,uk,uk,10,8.5,11,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,with transparent latex,
5191,5191,V7,WF,WF,V7-WF,V7-WF-16,1,V7-WF-16,T,Araliaceae,Polyscias,uk,voantsilana,9.4,8.4,16,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,fair,storm,no,NA,NA,
5315,5315,V24,FF,FF,V24-FF,V24-FF-5,1,V24-FF-5,T,Araliaceae,Polyscias,uk,voantsilana,18,11.3,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5326,5326,V24,FF,FF,V24-FF,V24-FF-16,1,V24-FF-16,T,Araliaceae,Polyscias,uk,voantsilana,18.2,8.4,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5333,5333,V24,FF,FF,V24-FF,V24-FF-23,1,V24-FF-23,T,Araliaceae,Polyscias,uk,voantsilana,11.8,9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5334,5334,V24,FF,FF,V24-FF,V24-FF-24,1,V24-FF-24,T,Araliaceae,Polyscias,uk,voantsilana,10.5,9.4,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5335,5335,V24,FF,FF,V24-FF,V24-FF-25,1,V24-FF-25,T,Araliaceae,Polyscias,uk,voantsilana,11.5,10.4,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5350,5350,V24,FF,FF,V24-FF,V24-FF-40,1,V24-FF-40,T,Araliaceae,Polyscias,uk,voantsilana,17.2,11.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5364,5364,V24,FF,FF,V24-FF,V24-FF-54,1,V24-FF-54,T,Araliaceae,Polyscias,uk,voantsilana,15,10.3,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5372,5372,V24,FF,FF,V24-FF,V24-FF-62,1,V24-FF-62,T,Araliaceae,Polyscias,uk,voantsilana,12.6,9.7,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5379,5379,V24,FF,FF,V24-FF,V24-FF-69,1,V24-FF-69,T,Araliaceae,Polyscias,uk,voantsilana,14.3,9.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5382,5382,V24,FF,FF,V24-FF,V24-FF-72,1,V24-FF-72,T,Araliaceae,Polyscias,uk,voantsilana,12.1,10.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5396,5396,V24,FF,FF,V24-FF,V24-FF-86,1,V24-FF-86,T,Araliaceae,Polyscias,uk,voantsilana,20,13,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,NA,dead,storm,no,NA,trunk broken,
5403,5403,V24,FF,FF,V24-FF,V24-FF-93,1,V24-FF-93,T,Araliaceae,Polyscias,uk,voantsilana,13.2,11.1,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5409,5409,V24,FF,FF,V24-FF,V24-FF-99,1,V24-FF-99,T,Araliaceae,Polyscias,uk,voantsilana,12.5,8.5,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5432,5432,V24,FF,FF,V24-FF,V24-FF-122,1,V24-FF-122,T,Araliaceae,Polyscias,uk,voantsilana,12.2,10,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5433,5433,V24,FF,FF,V24-FF,V24-FF-123,1,V24-FF-123,T,Araliaceae,Polyscias,uk,voantsilana,13.2,8.2,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5435,5435,V24,FF,FF,V24-FF,V24-FF-125,1,V24-FF-125,T,Araliaceae,Polyscias,uk,voantsilana,13.5,9.6,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5437,5437,V24,FF,FF,V24-FF,V24-FF-127,1,V24-FF-127,T,Araliaceae,Polyscias,uk,voantsilana,14,8.7,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5440,5440,V24,FF,FF,V24-FF,V24-FF-130,1,V24-FF-130,T,Araliaceae,Polyscias,uk,voantsilana,9.8,11.2,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5449,5449,V24,FF,FF,V24-FF,V24-FF-139,1,V24-FF-139,T,Araliaceae,Polyscias,uk,voantsilana,10.3,7.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5467,5467,V24,VH,VH,V24-VH,V24-VH-1,1,V24VH-1,T,Araliaceae,Polyscias,uk,voantsilana,31,18,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5470,5470,V24,VH,VH,V24-VH,V24-VH-4,1,V24VH-4,T,Araliaceae,Polyscias,uk,voantsilana,29.1,14.2,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5476,5476,V24,VH,VH,V24-VH,V24-VH-10,1,V24VH-10,T,Araliaceae,Polyscias,uk,voantsilana,36.7,15.4,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5478,5478,V24,VH,VH,V24-VH,V24-VH-12,1,V24VH-12,T,Araliaceae,Polyscias,uk,voantsilana,33.1,16,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5480,5480,V24,VH,VH,V24-VH,V24-VH-14,1,V24VH-14,T,Araliaceae,Polyscias,uk,voantsilana,31.5,12.9,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,good,undamaged,no,NA,NA,
5502,5502,V24,VH,VH,V24-VH,V24-VH-36,1,V24VH-36,T,Araliaceae,Polyscias,uk,voantsilana,36,18.4,NA,NV,,Araliaceae,Polyscias,unknown,not endemic,e,sterile,poor,storm,no,NA,inclined and branches damaged,
